Sent	NegAdj	Noun	Adj	Fq	AdjFq
NEG	A	Rakousko	sporný	136	19.7529766686296
POS	A	Polsko	mistrovský	269	38.5831193428604
NEG	A	Číňan	původní	146	24.8756755630229
POS/NEG	A	Slovák	obrovský	334	58.872633115196
POS	A	Polsko	jednoduchý	417	65.7761475724017
POS	A	Ukrajinec	zajímavý	90	14.6402089193223
POS	A	Rusko	lidský	2460	368.132100282137
NEG	A	Rakousko	poškozený	90	14.0284930377666
POS	A	Britka	úspěšný	33	11.1915544014809
NEG	A	Rakousko	radikální	173	26.1056955414524
NEG	A	Američan	poslední	5979	1097.42135846455
POS	A	Ukrajinec	bohatý	309	232.944084747785
NEG	A	Německo	směšný	86	10.2890341904041
NEG	A	Slovensko	složitý	528	82.5132613760373
POS	A	Američan	vážený	38	10.2629012689997
NEG	A	Rusko	silný	5273	1349.0583459732
POS	A	Čína	chráněný	101	16.2774935070043
POS	A	Slovensko	zvýšený	395	59.5885938962116
POS	A	Ruska	bohatý	83	54.7753388115153
POS	A	Číňan	šťastný	105	26.9178821264241
NEG	A	Italka	těžký	106	18.4377528504104
POS	A	Polsko	milý	72	10.1145152259278
NEG	A	Itálie	postižený	322	56.3916872065626
NEG	A	Rusko	zlý	303	66.6328550024215
POS	A	Francouz	vítězný	799	406.11985183047
NEG	A	Nizozemsko	tvrdý	208	30.9638570621166
POS	A	Ital	vyrovnávací	40	13.102380952381
NEG	A	Slovensko	ničivý	101	19.0783567473305
POS	A	Francouz	cenný	168	20.9588404159735
NEG	A	Německo	zpustošený	28	13.4562658531699
POS	A	Francouz	neuvěřitelný	113	18.168624170869
NEG	A	Polsko	nemocný	133	23.172856966868
POS	A	Itálie	zvýšený	165	23.6045108057823
NEG	A	Rusko	útočný	355	53.196973402554
POS	A	Rus	přátelský	155	33.1464647120167
POS	A	Rumunka	jistý	35	14.5512626262626
POS	A	Češka	rozhodující	212	41.1642694455213
NEG	A	Německo	izolovaný	94	18.3788608872264
NEG	A	Ukrajina	postižený	375	95.1470610172046
POS	A	Itálie	zkušený	401	56.5817928231221
NEG	A	Čech	uvězněný	63	43.1941852368112
NEG	A	Francouz	nevyzpytatelný	45	17.1086080586081
NEG	A	Ital	bláznivý	55	27.4037789436916
POS	A	Bulharsko	vítězný	105	18.4989208635026
NEG	A	Francouz	klíčový	272	52.1364633031672
POS	A	Ital	veselý	44	14.8518692712976
NEG	A	Francie	křehký	89	13.0151619755231
POS	A	Slovensko	výhodný	783	148.218839200033
NEG	A	Němec	propagandistický	89	13.2834231518872
NEG	A	Nizozemsko	sporný	43	12.2406670259453
POS	A	Čech	poučný	46	11.8710531658358
POS	A	Bulhar	dobrý	445	83.3061405708637
POS	A	Francouz	sociální	521	73.6456876519501
NEG	A	Polák	divoký	111	17.1151979715157
NEG	A	Polsko	krizový	121	18.6407865026114
POS	A	Francie	zvýšený	242	38.9823419009638
POS	A	Američan	zvědavý	131	33.7047419780284
POS	A	Němka	vynikající	64	15.4727163937842
POS	A	Čech	hezký	596	101.101511914623
POS	A	Rakousko	vzdělávací	179	18.7602274089656
POS	A	Rakušanka	zkušený	42	27.1678321678322
NEG	A	Slovensko	radikální	281	48.8694691225104
POS/NEG	A	Američan	obrovský	1059	188.918713102356
POS	A	Američan	pěkný	161	28.3927867471913
POS	A	Polák	klidný	87	12.61978185924
POS	A	Francouz	výjimečný	115	18.1926307215496
POS	A	Itálie	slavnostní	243	26.925066005797
NEG	A	Německo	infikovaný	74	10.2792909631812
POS	A	Ukrajina	schopný	448	94.6805597589489
NEG	A	Polák	špatný	941	149.919241822325
POS	A	Slovák	důvěřivý	26	13.0506322180235
POS	A	Češka	správný	107	45.8396853378731
POS	A	Rus	nadšený	101	21.2886879678132
NEG	A	Rusko	zásadní	1258	223.333671522527
NEG	A	Čína	špatný	1373	235.373103220075
POS/NEG	A	Itálie	důležitý	1238	190.041268366044
NEG	A	Nizozemec	poslední	962	163.855375937126
POS	A	Itálie	definitivní	114	19.6891900508867
NEG	N	Rakušan	závislý	182	32.6155306355562
NEG	A	Itálie	brutální	71	10.3749499082838
POS	A	Němec	super	257	35.8796895975221
POS	A	Rumunsko	bezpečnostní	100	10.7057774033128
POS	A	Nizozemec	zajímavý	83	12.1464497107882
NEG	A	Francouz	tajný	148	24.4911305073155
NEG	A	Američan	zraněný	393	159.727989098586
NEG	A	Čech	arogantní	107	22.1616127898784
NEG	A	Čech	hrůzný	61	12.0694484661274
NEG	A	Bulharsko	závislý	65	10.8098921975857
NEG	A	Itálie	katastrofální	82	15.4737266415652
POS	A	Francie	pevný	337	50.7073600520138
NEG	A	Polsko	těžký	1249	207.421702401508
POS	A	Ukrajina	sociální	582	74.0164942024731
POS	A	Vietnam	skutečný	89	15.3180461087739
NEG	A	Itálie	tvrdý	565	87.5352561331721
NEG	A	Rom	zaujatý	25	10.7021473695387
POS	A	Slovák	výborný	499	147.777692063126
POS	A	Slovenka	základní	76	11.3124881731415
NEG	A	Rus	zraněný	221	85.33114814708
POS	A	Polsko	luxusní	122	17.8501780794521
NEG	A	Čech	vystavený	89	14.424190469498
POS	A	Německo	obdivuhodný	66	11.0780507070114
POS	N	Němec	kompromisní	80	20.0842452259615
POS	A	Francouz	luxusní	155	24.0460491402954
POS	A	Slovensko	skvělý	939	157.670264611482
POS	A	Brit	výhodný	83	18.8985893523974
POS	A	Maďarsko	lidský	288	29.7723949908851
NEG	A	Čech	vyděšený	33	10.0303855672655
POS	A	Francie	chytrý	89	11.519478934348
POS	A	Američan	zřejmý	226	39.1124574836591
POS	A	Francie	vynikající	640	99.1856261641595
NEG	A	Rakušanka	poslední	216	33.2811495282296
POS/NEG	A	Čech	drahý	1787	424.281804913419
POS	A	Rusko	lákavý	178	37.6913647748593
POS	A	Bulharsko	zvýšený	79	12.2712878034053
NEG	A	Američan	ostrý	287	47.0493307380538
POS	A	Čína	opravdový	133	28.9487053829729
POS	A	Angličan	úspěšný	154	28.571860782185
POS	A	Francouz	bohatý	628	352.433009633939
POS	A	Slovensko	rád	2863	502.019723818084
POS	A	Maďarsko	rozhodující	221	42.7063051651745
NEG	A	Polsko	silný	3051	605.398197526784
POS	A	Češka	slavný	420	237.675038693859
NEG	A	Polsko	teroristický	143	17.9961225403292
POS/NEG	A	Češka	důležitý	234	34.2064731066113
POS	A	Nizozemec	bohatý	64	17.5254145776458
POS	A	Romka	hezký	16	12.3246460746461
POS	A	Francie	originální	288	38.6045246722004
POS	A	Rom	dobrý	2341	431.893422233407
NEG	A	Angličan	klíčový	96	14.3976890687572
NEG	A	Ital	ostrý	112	17.1953007568072
POS	A	Německo	optimistický	222	36.2969752156103
POS/NEG	A	Kazach	velký	214	38.4826306723326
POS	A	Polsko	opravdový	127	19.9886219706801
POS	A	Německo	kompromisní	90	13.1288276647834
POS	A	Francie	zřejmý	188	26.7481445011881
NEG	A	Angličan	zvláštní	93	16.0030640024608
NEG	A	Maďarsko	falešný	92	15.5207905034218
POS	A	Němec	báječný	75	13.8252498780807
POS	A	Vietnamka	krásný	52	43.2702380952381
NEG	N	Slovensko	závislý	719	155.280215962072
POS	A	Francouz	dobrý	4147	776.198915158592
POS	A	Němec	spolehlivý	158	34.3590490337955
NEG	A	Francie	tragický	281	48.7161917077564
POS/NEG	A	Nizozemsko	vážný	149	21.6265383153455
NEG	A	Německo	šokovaný	33	10.4378871128871
POS	A	Slovensko	klidný	256	41.8099578230637
POS	A	Čech	svatý	1166	187.058231010299
NEG	A	Ital	poslední	2690	449.995006377328
POS	A	Francouzka	rád	96	20.9872852570664
POS	A	Rumunsko	rád	321	52.1106116665734
NEG	A	Rusko	důrazný	131	21.1116313520846
NEG	A	Rakušan	odlišný	58	13.73497184217
POS	A	Itálie	krásný	1262	289.266319922858
POS/NEG	A	Maďar	vážný	70	10.5678075536239
POS	A	Slovák	vděčný	73	18.8150511677366
NEG	A	Německo	zklamaný	178	34.7162192484295
POS	A	Američan	otevřený	521	91.0786114883413
POS	N	Francie	šťastný	143	23.4748545056066
POS	A	Maďarsko	jednoduchý	157	24.8957037676975
POS	A	Angličan	slavný	368	140.608550585612
NEG	A	Vietnam	tvrdý	88	11.6851168788162
NEG	A	Rumunsko	válečný	79	10.7348847682957
POS	A	Maďarsko	rád	604	88.968776607733
POS	A	Německo	výhodný	1173	199.667448660025
POS	A	Francie	obranný	415	55.7516140697151
NEG	A	Nizozemsko	postižený	120	18.5150084173469
NEG	A	Čech	vychytralý	70	29.4861624486624
NEG	A	Čína	předpokládaný	90	10.2563196400937
NEG	A	Rusko	poslední	11316	2002.81284467548
POS	N	Slovensko	spravedlivý	67	10.244669521733
NEG	A	Německo	obžalovaný	282	34.8420755464293
POS	A	Brit	citlivý	76	18.2985137239065
POS	A	Německo	fantastický	190	29.4839468308862
POS	A	Slovensko	rozhodující	564	92.3901341621185
POS	A	Slovensko	získaný	210	31.297115908158
POS	A	Slovák	cenný	181	26.989226979114
NEG	A	Čech	posedlý	75	30.6831998556999
POS	A	Rus	špičkový	148	27.7558833120877
NEG	A	Rakušan	podezřelý	82	25.3198641584594
POS	A	Rus	neuvěřitelný	125	20.6989975501047
NEG	A	Slovensko	sporný	251	38.7109497091758
POS	A	Rusko	fantastický	144	26.9122665874303
POS	A	Slovensko	mocný	145	28.9090213267577
POS	A	Slovák	opravdový	76	20.1960401098369
POS	A	Polsko	bohatý	701	109.01215992403
NEG	A	Američan	důrazný	88	20.4641745046225
NEG	A	Němec	zraněný	838	286.786482517852
POS	A	Slovák	úžasný	61	11.5509565936865
POS/NEG	A	Bulharka	velký	114	17.1921255176421
POS	A	Kazachstán	rád	129	22.4104227553229
POS	A	Čína	příjemný	114	20.8927308651071
POS	A	Američan	vděčný	143	55.3428866382268
NEG	A	Číňan	zvláštní	137	24.1567327115273
NEG	A	Francie	přísný	546	101.723225836954
POS/NEG	A	Čína	drahý	658	124.549891252298
POS	A	Ital	správný	186	86.7901243011835
POS	A	Ukrajina	aktivní	231	38.3164838830157
POS	A	Maďar	slušný	57	12.4281652563044
POS	A	Německo	jistý	2653	401.978003964039
POS/NEG	A	Angličanka	velký	148	21.3825189111823
POS	A	Rakousko	možný	2016	295.890152948916
POS	A	Rom	krásný	231	37.3521520849038
NEG	A	Francie	těžký	1791	304.06210797563
POS	A	Německo	nesporný	100	16.3095860915976
NEG	A	Čech	sporný	227	30.7437480646667
NEG	A	Ukrajina	ostrý	179	27.2265599143788
POS/NEG	A	Čína	důležitý	2392	464.815940008125
POS	A	Maďarsko	ochranný	92	11.5108751956215
NEG	A	Německo	nevyzpytatelný	91	22.44733593495
POS	A	Polsko	špičkový	450	68.2729676205967
POS/NEG	A	Ital	ohromný	46	11.3596077049565
NEG	A	Rusko	barbarský	71	13.6432810920955
POS	A	Bělorusko	sociální	104	13.1329920412792
POS	N	Maďarsko	příznivý	83	12.2866775189323
NEG	A	Francouz	agresivní	68	11.6207820658201
NEG	A	Rakousko	nemocný	125	18.9702688984599
NEG	A	Rakousko	předpokládaný	101	12.5966567675935
NEG	A	Francie	ničivý	108	20.826891814407
NEG	A	Američanka	nemocný	49	17.3104550463528
NEG	A	Čech	ničivý	128	19.5573944916116
POS	A	Polák	pěkný	186	31.8172555456605
POS	A	Čína	umírněný	68	10.945390526596
POS	A	Čech	chytrý	883	420.338872106157
NEG	A	Francouz	tvrdý	278	50.899767230766
POS	A	Ital	skvělý	539	122.156621184905
POS	N	Rus	příjemný	184	43.1938219640287
POS	A	Američan	nadšený	222	59.8675692695146
POS	A	Rakušan	klidný	47	11.4017174449095
POS	A	Rom	klidný	135	18.3885865955875
POS	A	Čech	jednoduchý	1050	186.651626411755
POS/NEG	A	Itálie	drahý	758	147.560570418316
NEG	A	Německo	sebevražedný	105	14.6563542747441
POS	N	Čech	věřící	112	47.7494913611293
POS	A	Polsko	příznivý	354	55.7247317324389
POS	A	Rumunsko	zkušený	93	12.2903233711231
POS	N	Čech	slavný	41	13.0113995745575
NEG	A	Kurd	tvrdý	66	14.5814048290452
NEG	A	Kurd	radikální	101	31.8664628143251
POS	A	Číňan	duchovní	64	10.3646365334995
POS	A	Rusko	rozsáhlý	1171	226.841476496187
NEG	A	Američan	sebevražedný	186	26.8524095350392
POS	A	Polák	schopný	390	73.2676366823989
POS	A	Polsko	duchovní	230	32.1777718691059
NEG	A	Kurd	zabitý	21	10.2349117987276
POS	A	Ukrajina	významný	708	116.395352476889
NEG	A	Ruska	zraněný	42	14.5162055050213
POS	A	Francie	uvolněný	79	12.1242013708316
NEG	A	Polák	přísný	137	24.0693388878755
POS	A	Slovák	ideální	111	16.5710942734501
POS	A	Německo	zkušený	1029	140.689292509632
NEG	A	Američanka	pouhý	174	29.7905781063703
NEG	A	Američan	šokující	128	29.9313946246995
NEG	A	Rom	hlučný	230	79.6929545004438
POS	A	Rusko	sofistikovaný	58	10.2824336476713
POS	A	Rom	vzdělávací	336	55.4773186810722
POS/NEG	A	Češka	velký	1941	343.05005876442
POS	A	Cikán	slavný	157	46.47622769743
POS	A	Slovák	hezký	96	17.7340037797264
NEG	A	Rakousko	křehký	55	12.638975807788
POS	A	Německo	dosažený	83	10.5681365068702
POS	A	Ruska	úspěšný	91	24.1523050267768
POS	A	Ukrajina	cenný	137	19.3476559929378
NEG	A	Bělorusko	diktátorský	88	17.9917521776548
POS	A	Rusko	otevřený	1192	246.146251936242
POS	N	Polák	příjemný	156	32.8783921033279
POS	A	Itálie	bohatý	1136	248.539630853867
POS	A	Rom	slušný	739	261.232646216066
POS	A	Bulhar	vítězný	53	22.6791003628821
POS	A	Čech	perfektní	232	41.1514183689555
NEG	A	Ukrajinec	odsouzený	49	28.1034201325822
NEG	N	Ukrajinec	poražený	21	15.0752242926156
POS	A	Italka	skvělý	90	25.9041748400823
POS	A	Ukrajinec	úspěšný	72	18.2724562895231
POS	A	Rom	hrdý	129	24.2407468196075
POS	A	Čech	vítězný	1529	318.270113436646
POS	A	Maďar	schopný	130	22.1600541000306
NEG	A	Ital	tvrdý	241	50.0608794268828
POS	N	Rusko	úspěšný	307	56.4988832454828
POS	A	Itálie	super	213	30.5859997472693
NEG	A	Bulhar	silný	101	19.8577570405105
NEG	A	Ital	složitý	98	15.8925052793583
NEG	A	Bulharsko	údajný	74	10.8184626172386
POS	A	Rakušan	cenný	100	16.7120401498435
NEG	A	Slovensko	bojovný	56	10.674417711457
POS	A	Německo	snadný	636	113.781102775039
POS	A	Maďarsko	zvýšený	111	13.7220139432844
POS	A	Němec	lidský	873	94.0508276903314
NEG	A	Holanďan	silný	135	36.6982999180359
POS	A	Američanka	zkušený	162	85.5721594859675
NEG	A	Německo	nesmyslný	153	19.0150768077121
POS/NEG	A	Vietnamec	vážný	54	10.8929087043403
POS	A	Rus	statečný	61	23.3689436484301
POS	A	Brit	aktivní	79	19.4538957408921
POS	A	Němec	pravý	978	177.587284780125
POS	A	Američan	klidný	191	36.9813464553131
POS	A	Ital	krásný	329	75.2801084491213
NEG	A	Francouz	šokovaný	18	12.897619047619
POS	A	Německo	perfektní	186	26.446571486776
POS	A	Rakousko	cenný	441	74.6282405663687
NEG	A	Rumun	obžalovaný	32	17.095
POS	A	Kazachstán	úspěšný	109	18.438849450842
POS	A	Maďarsko	slavný	235	35.5988271081945
NEG	A	Američan	extrémní	95	15.0371929209146
POS	N	Čech	správný	84	14.0154616820643
POS	N	Němec	spravedlivý	158	27.836724348013
NEG	A	Němec	takzvaný	1041	166.658585844035
POS	A	Ukrajina	bezpečnostní	735	129.722698395861
NEG	A	Kazach	poslední	125	20.8821832828072
POS	A	Čech	cenný	1069	197.59585799905
NEG	A	Rakousko	zlý	67	13.5288872191369
NEG	A	Čech	problematický	184	34.311313666679
NEG	A	Ital	původní	167	25.6660833885288
POS	A	Itálie	jednotný	358	74.3134907603222
POS	A	Rus	rozhodující	337	62.2913570146446
POS	A	Francouz	sladký	59	10.6778569283106
POS	A	Rusko	věčný	244	50.4159379388404
POS	A	Němec	základní	1928	266.132152120509
POS	A	Rom	rozsáhlý	113	15.7899814152638
POS	A	Rom	veselý	61	12.7227594271269
POS	A	Vietnamec	dobrý	421	74.0568898399744
NEG	A	Američanka	výstřední	28	19.8092032967033
POS	A	Češka	nádherný	60	16.6873737351863
POS	A	Rusko	základní	2535	369.990233589214
NEG	A	Slovák	falešný	96	20.2349712742455
POS	A	Čech	dokonalý	271	52.2223491525721
POS	N	Američan	schopný	56	11.79618402397
POS	A	Rom	pevný	77	13.781022995006
NEG	A	Rom	diskriminační	170	28.4552127073707
POS	A	Německo	přitažlivý	113	24.9402075606724
POS	A	Polsko	originální	140	17.7601709116456
POS	N	Rom	pohodlný	50	13.9907256080383
POS/NEG	A	Brit	obrovský	229	38.9152929856807
POS	A	Čech	hrdý	2054	697.324850613648
POS/NEG	A	Slovák	důležitý	712	116.360129164446
NEG	A	Slovák	drtivý	182	44.4341022566447
NEG	A	Polák	důrazný	90	23.1658771783772
NEG	A	Francie	rizikový	114	15.4734918025118
POS	A	Brit	zajímavý	211	39.0403498283959
NEG	A	Rusko	podezřelý	467	88.0619531741537
POS	A	Polák	záchranný	135	19.870868906919
NEG	A	Francie	obyčejný	213	28.0389340600426
POS	A	Němec	přesný	645	132.935298814666
NEG	A	Rusko	falešný	264	41.2219152350756
POS	A	Ukrajinka	výborný	34	13.614143039143
NEG	A	Slovensko	hrozný	101	17.2908413793917
POS	A	Itálie	příznivý	216	28.7580729134258
NEG	A	Rakousko	tragický	154	23.9623216414294
NEG	A	Nizozemsko	dramatický	89	14.3246857931113
POS	A	Rakousko	milý	91	16.0917370459133
NEG	N	Rus	závislý	236	30.3651135985854
POS	A	Polsko	šťastný	151	22.719689534648
POS	A	Čína	předběžný	132	20.0658761986025
POS/NEG	A	Bělorusko	obrovský	91	17.3143524060577
NEG	A	Slovák	údajný	177	30.8710238203279
NEG	A	Ukrajina	poslední	3032	520.438247104611
NEG	A	Francouz	bláznivý	47	13.2703684254342
POS	A	Bulharsko	dobrý	1170	196.257794286579
NEG	A	Itálie	krutý	98	13.8764300835457
NEG	A	Francouz	pouhý	415	71.4284520435471
POS	A	Rakousko	nadšený	148	21.8064200992742
POS	A	Rus	vhodný	96	12.6555792979463
NEG	A	Čech	urážlivý	59	10.9741416472502
POS	A	Čech	získaný	177	21.596508729075
POS	A	Francouz	dokonalý	104	21.151243855443
POS	A	Číňan	špičkový	63	12.4593937140353
POS	A	Američan	dobrý	7603	1426.2364348093
POS	A	Nizozemsko	vynikající	132	23.1050287177836
NEG	A	Rumunsko	pouhý	108	17.7990564629882
NEG	A	Slovák	důrazný	66	21.0979179303622
POS	A	Itálie	čestný	143	21.4516612894635
POS	N	Itálie	příjemný	166	33.0104046276902
NEG	A	Francie	nepřátelský	221	38.3114894462815
POS	A	Francie	optimistický	74	10.9292431354536
POS	A	Američan	duchovní	191	26.7374185034305
POS	A	Francie	hodný	89	17.2784504434102
POS/NEG	A	Číňan	velký	2579	498.855348872968
NEG	A	Rus	obžalovaný	57	21.1109004677746
NEG	A	Slovensko	falešný	307	52.8438638158555
NEG	A	Američan	hořký	70	14.776843107179
NEG	A	Slovenka	těžký	105	17.5906945977465
POS	A	Rom	ideální	66	10.9214239476633
NEG	A	Američan	prázdný	143	23.8550740931942
POS	A	Francie	bezpečnostní	964	138.380385732878
POS	A	Ruska	vynikající	44	14.6747094408859
NEG	A	Brit	kritický	75	12.7494688349226
NEG	A	Bulharsko	klíčový	177	29.1820275711917
POS	A	Německo	významný	4362	734.257342866261
NEG	A	Čech	tajný	537	72.7238588371575
NEG	A	Čech	katastrofální	95	23.8800578799625
NEG	A	Angličan	špatný	233	38.2038596371385
POS	A	Bulharsko	krásný	124	26.1080108027677
POS	A	Slovenka	dobrý	617	141.822104346759
POS	A	Němec	vážený	88	10.2965203939535
NEG	A	Kurd	těžký	57	11.8571883998355
POS	A	Polák	spolehlivý	57	13.8419566103131
POS	A	Francie	hrdý	310	91.2289657504922
POS	A	Američan	mistrovský	148	20.781325509841
NEG	N	Maďarsko	závislý	215	28.0060156972328
POS	A	Bělorusko	rozhodující	92	17.7856493616255
POS	A	Čech	předběžný	170	25.6387539263602
POS	A	Polák	slavný	498	165.262971956327
NEG	A	Němec	komplikovaný	150	21.7562324135666
POS/NEG	A	Německo	velký	59417	12722.4323734964
POS/NEG	A	Kazachstán	obrovský	129	28.4737438476321
NEG	A	Američan	divný	86	17.0153516524822
NEG	A	Vietnam	postižený	97	20.5066576143511
POS	A	Slovensko	zvědavý	94	12.4925219780776
NEG	A	Francie	útočný	191	33.1446247974188
POS	A	Rakušan	nadšený	46	10.6585820506627
POS	A	Slovensko	správný	444	58.380550753573
POS	A	Američan	příznivý	115	20.5012058427099
POS	A	Češka	významný	174	49.5449542409991
POS	N	Čech	skutečný	135	25.6388322456079
POS	A	Bulharsko	příznivý	108	19.3755928638273
POS	A	Rusko	reálný	887	146.315866505956
POS	A	Slovensko	velkolepý	107	13.9188764314785
POS	A	Němec	věrný	246	50.0712508106258
POS	A	Nizozemec	vynikající	105	29.2223399357419
POS	A	Angličan	krásný	165	31.5101001037976
POS	A	Čína	šťastný	194	41.4711012237268
NEG	A	Číňan	klíčový	93	16.5430726961092
POS	A	Ital	šarmantní	32	21.6375633138791
POS	A	Německo	stabilizovaný	64	10.2167332783746
POS	N	Francouz	rád	92	33.2002629496012
POS	A	Rakousko	super	145	19.6699157693788
POS	A	Slovák	jasný	528	85.1159458966514
POS	A	Moldavsko	dobrý	139	21.504471789422
POS	A	Německo	pohodlný	133	20.406151890599
POS/NEG	A	Američan	důležitý	1776	316.174117457421
POS	A	Rumun	skvělý	69	14.6901161405832
POS	A	Cikán	bohatý	39	11.0900392691413
NEG	A	Německo	poražený	939	521.954723484138
POS	A	Čech	zábavný	332	49.0016567553825
POS	A	Francie	odvážný	138	18.1943833678647
NEG	A	Rumun	slabý	52	16.1614764326649
POS	A	Rakousko	věčný	79	15.8185914358148
NEG	A	Polsko	předpokládaný	151	26.464469727891
POS	A	Slovák	jednotný	148	27.9390795935818
POS	A	Polák	vděčný	56	14.2456361154977
POS	A	Polsko	spravedlivý	101	17.223098019086
POS	N	Rakousko	příjemný	171	28.9870955648774
POS	A	Itálie	kladný	56	10.0672589717859
POS	N	Němec	možný	201	30.186028686376
NEG	A	Itálie	zoufalý	55	11.1522187558188
NEG	A	Němec	bolestný	116	17.9624144045704
NEG	N	Čech	poslední	152	23.4221149034616
POS	A	Američan	věrný	179	35.1041380652404
NEG	A	Nizozemsko	přísný	149	22.939513780543
POS	N	Ukrajina	jistý	108	26.1234844823605
NEG	A	Němec	hořký	104	17.1626963833123
NEG	A	Rus	šílený	74	23.3083373768661
NEG	A	Rusko	nemocný	270	66.7259640187437
NEG	A	Francie	krutý	164	25.798000006775
NEG	A	Ukrajina	pouhý	229	34.8435773079767
NEG	A	Kazachstán	těžký	158	29.5780219795583
POS	A	Polsko	pevný	237	32.5449448886741
NEG	A	Čech	útočný	443	80.9831376803976
POS	A	Francouz	zkušený	376	166.644237923229
NEG	A	Rumun	zoufalý	25	11.3650543900544
NEG	A	Němec	nízký	1108	163.988484059049
POS	A	Ukrajina	mocný	93	16.0184151561433
POS	A	Čech	radostný	114	20.8675112645058
POS	A	Slovensko	jednoduchý	625	99.9325897469395
NEG	A	Američan	postižený	207	64.4469923510596
POS	A	Rakousko	zajímavý	1161	167.280715438615
NEG	A	Maďar	klíčový	76	12.3835542453784
NEG	A	Francouz	původní	215	32.0820999643352
NEG	A	Francouz	nervózní	64	13.0846407779363
POS	A	Francie	mistrovský	418	66.0912293987945
POS	A	Rakousko	jednotný	306	46.0102492042483
NEG	A	Slovák	nervózní	66	13.5675579898603
POS	A	Čína	civilizovaný	57	14.1139413155123
POS	A	Slovensko	základní	3052	398.597129137934
NEG	A	Čína	válečný	406	59.8223879868471
POS	A	Rom	sociální	5067	832.886082322924
NEG	N	Němec	vysídlený	17	15.1428571428571
POS	A	Němec	sociální	2251	275.831431480499
NEG	A	Slovensko	poražený	136	23.2612566518917
NEG	A	Francouz	vinný	61	13.3673613043984
POS	A	Rus	skvělý	539	126.792510691281
NEG	A	Rusko	chybný	127	16.8264191638469
POS	A	Ital	jednotný	59	10.0161837573195
POS	A	Německo	správný	721	95.9735707685361
POS	A	Angličan	svatý	65	10.7353646932339
POS	A	Polsko	vhodný	430	64.0463945922708
NEG	A	Čech	sobecký	46	11.6977893582689
POS	A	Slovák	rozhodující	322	53.6801667678052
POS	A	Bulharsko	aktivní	101	14.2915053132078
POS	A	Francie	mocný	325	76.9507645536708
NEG	A	Angličan	poslední	854	142.874049220151
POS	A	Slovensko	příznivý	506	99.8999271511706
POS	A	Čech	nesporný	77	10.9754028626689
POS	A	Polák	věřící	109	42.573929470237
NEG	A	Ukrajina	fašistický	150	35.1676741140049
POS	A	Francouz	rozhodující	299	50.9690426542534
NEG	A	Němec	prázdný	526	88.405596719477
POS	A	Francouz	výhodný	91	13.3843785010119
POS/NEG	A	Čína	obrovský	2077	486.880916823901
POS	A	Rusko	ochranný	157	22.4997019939317
POS	A	Američan	zvýšený	160	32.4558642685145
NEG	A	Číňan	odlišný	67	10.9194622674863
NEG	A	Rusko	nesmiřitelný	71	12.0067921411001
POS	A	Nizozemsko	nádherný	57	10.9702058017536
POS	A	Rumunsko	svatý	104	17.4245455910046
POS	A	Itálie	nadšený	150	24.7123911737014
POS	A	Brit	mistrovský	105	16.3564463354099
POS	A	Němec	schválený	108	13.6698141892047
POS	N	Čech	jistý	261	54.9915775971641
